source,target,tweet_text,tweet_date
@DireitaMaria,@gleisi,"Calma! Em 2019, muita água vai rolar, e
Caixa preta do BNDES
Caixa preta da Petrobras
Itaipu Binacional
Caixa preta Rouanet
Quem matou Celso Daniel??
Quem mandou matar Bolsonaro??
Caixa preta Minha Casa Minha Vida
Caixa preta Bolsa Família 
Caixa preta Fundos de Pensão
Etc etc",2018-11-11T23:39:27.000Z
@adrisl_ar,@folha,Fernanda Montenegro Rouanet,2018-12-12T23:58:25.000Z
@natmandur,@VEJA,"aqui tem artista que vai precisar de terapia depois do fim da ""farra da Rouanet"".",2018-12-12T23:56:01.000Z
@Vanilsouza,@kiiFRoWi4n,"Filme de Wagner Moura, que captou R$ 10 milhões da Lei Rouanet, está condenado ao fracasso (Veja o Vídeo) https://jornaldacidadeonline.com.br/noticias/12903/filme-de-wagner-moura-que-captou-r-10-milhoes-da-rouanet-esta-condenado-ao-fracasso-veja-o-video…",2019-01-12T23:55:04.000Z
@LeneSantanna,@PAAssis,Eu que mamo na Lei Rouanet,2019-01-12T23:55:02.000Z
@LeneSantanna,@lsentoes,Eu que mamo na Lei Rouanet,2019-01-12T23:55:02.000Z
@FanyFanani,@ClaudiaLeitte,Voce pegou dinheiro da Rouanet pra este também? Amei saber que voce vai ter que devolver 1.3 milhoes ao governo! Vagabundos tem que começar a trabalhar pra fazer dinheiro!,2019-01-12T23:51:36.000Z
@tv_varella,@conexaopolitica,"Mas a taxa de importação do leite continua, os ruralistas pressionam e o PR cede. Entretanto a lei rouanet é mexida pra atingir uma classe de artistas que o PR bao gosta",2019-02-12T23:55:52.000Z
@MarcalDalva,@liviaandradezn,"Livia já te falaram q vc passar a dar palestras, sua agenda vai ficar + cheia ainda. Se topar fazer isso, nao se esqueça da assessora do Peao Dourado, considerado 2º Tiao  Carreiro, e manda 1cheque q dê p pagar o curta Um Jogo p Tiao Carreiro. Lei rouanet só sai p ricos. Sei lá!!",2019-02-12T23:55:22.000Z
@dreamsforluan,@staffsantana,na verdade é cindy rouanet de lima jkkkjkj,2019-03-15T23:47:35.000Z
@rickpessoa2,@josiasteofilo,"Porque os ""cineastas"" daqui se recusam aceitar seu filme como tal. Vide o festival de cinema que você participou e eles se ""desescreveram"". Abstinência de lei Rouanet.",2019-03-15T23:22:55.000Z
@unperfectgirl_p,@crisilly,Lei Rouanet com certeza,2019-05-16T23:42:21.000Z
@unperfectgirl_p,@MistyOpressora,Lei Rouanet com certeza,2019-05-16T23:42:21.000Z
@ffalcao85,@Marcelodedois,"Eu não fui xingado de idiota. Não fumo maconha em universidades, nem ando nu em protesto e nem fumo maconha em showzinho bancado por lei Rouanet.",2019-05-16T22:35:53.000Z
@AugustoMorgado3,@zjsjEwv4PB,"A versão do impeachment na ótica de quem estava nas ruas. Sem lei Rouanet e nenhum benefício estatal. Não fique com a narrativa da esquerda sobre o impeachment! Não vão alterar a nossa história!

Compre o ingresso em:
http://naovaitergolpe.com.br",2019-06-16T23:58:10.000Z
@mlferraiolo,@opropriolavo,"FAZENDO O LANÇAMENTO DA NOVA LEI ROUANET, PARA AMIGOS DE BOLSNAR E FILHOS ''PATROCINAR VC, SEU OPORTUNISTA, E COM DINHEIRO DO POVO, SEU CANALHA DECADENTE. O Q SERÁ Q TEM PRA DIZER PRA ESCOLAS?  VC ESTÁ VELHO POR DENTRO E POR FORA",2019-06-16T23:56:28.000Z
@arrumaquinas,@HC6IyLGd1a,Gilberto Gil vai ser multado em R$ 3 milhões por Lei Rouanet https://veja.abril.com.br/blog/noblat/gil-multado-pelo-governo/…,2019-06-16T23:54:14.000Z
@CiceroFirpoSant,@7lkpCNWINv,"""Ação social""com dinheiro público: R$ 20 milhões da Lei Rouanet para Huck - TIJOLAÇO | “A política, sem polêmica, é a arma das elites.” http://tijolaco.net/blog/neoliberal-com-dinheiro-publico-r-20-mi-da-lei-rouanet-para-huck/…",2019-08-17T23:59:14.000Z
@Lucasa58,@PATRlOTAS,Paciência ele perdeu a boquinha da lei Rouanet.,2019-08-17T23:20:05.000Z
@solange47861810,@rosana,"O nome disso é fim da lei Rouanet. 
O chororo é infindável. O ator é pior que o vilão. E sabemos o nome disso: ""Lula livre"". Kkkkkkkk
#bomsucesso",2019-09-17T23:33:53.000Z
@solange47861810,@bomsucesso,"O nome disso é fim da lei Rouanet. 
O chororo é infindável. O ator é pior que o vilão. E sabemos o nome disso: ""Lula livre"". Kkkkkkkk
#bomsucesso",2019-09-17T23:33:53.000Z
@scavone,@XQTS3TU6Sv,"A ""Rouanet da segurança"" ou ""Segurança para quem pode pagar"" 
https://apublica.org/2019/09/com-rouanet-da-seguranca-empresarios-podem-interferir-na-aplicacao-de-recursos-no-rs/…",2019-09-17T22:02:20.000Z
@agenciapublica,@zWo72nRo40,"""Rouanet da segurança"": legislação inédita autoriza empresários a abater impostos em troca de armas e viaturas para as forças de segurança. Recursos vão para áreas escolhidas por doadores. http://agen.pub/seguranca",2019-09-17T21:00:00.000Z
@ChristianLanes,@banzeirosrainha,Viu não precisa roubar a lei Rouanet .,2019-10-18T22:37:30.000Z
@ChristianLanes,@danielamercury,Viu não precisa roubar a lei Rouanet .,2019-10-18T22:37:30.000Z
@EricoDietrich,@mito,"Todo mundo sabe que esse pessoal do PSL são na realidade petistas infiltrados financiados por Cuba, Venezuela, Foro de São Paulo e Lei Rouanet para acabar com o governo honesto do #mito e instar o comunismo!",2019-10-18T22:26:16.000Z
@REGINAOUTEIRO,@roxmo,Declarou guerra aos mamadores da Lei Rouanet!,2019-11-18T23:53:45.000Z
@ArqueiroZen,@lobaoeletrico,"Mal maior para você, que perdeu a boquinha da Lei Rouanet! 
Só para você ficar esperto:
BOLSONARO 2022
SÉRGIO MORO 2026",2019-11-18T23:47:59.000Z
@raposoigor,@lobaoeletrico,"Porra 
@lobaoeletrico
 o que vc deixo de mamar na teta do.governo pra mudar de lado assim.
Tu ficou sem mesada da lei rouanet",2019-11-18T23:39:53.000Z
@ronaldofrancoso,@roxmo,"Sem público q os sustentem dependem de políticos e suas algemas(lei  Rouanet, etc..)   para se manterem.",2019-12-19T23:56:38.000Z
@ronaldofrancoso,@BrazilFight,"Sem público q os sustentem dependem de políticos e suas algemas(lei  Rouanet, etc..)   para se manterem.",2019-12-19T23:56:38.000Z
@jcrouanet1,@ofcourselemans,"C'est remarquable. Bravo à Monsieur le Maire et à toute l'équipe municipale actuelle et précédente, sans oublier Jean-Claude Boulard.",2020-01-19T23:48:28.000Z
@jcrouanet1,@SLeFoll,"C'est remarquable. Bravo à Monsieur le Maire et à toute l'équipe municipale actuelle et précédente, sans oublier Jean-Claude Boulard.",2020-01-19T23:48:28.000Z
@vassal_de,@o_antagonista,"Isso É Um Babaca Covarde Q Não Aguenta A Pilha, E Reage A Cusparadas Ou Processos De Quem Ousar A Dizer Q Sua Lua De Mel Nas Maldivas Foi Financiada Por Vaquinhas Virtuais Através Do Dinheiro De Militantes Esquerdopatas Fanáticos, Já Q O Leitinho Da Rouanet Secou .",2020-01-19T23:29:39.000Z
@marciano_itro,@brpolitico,"Esse vagabundo desse narigudo não pode falar de ninguém não com q moral 
Ele pegou dinheiro da lei Rouanet pra comprar o jatinho q ele tem 
E dinheiro nosso",2020-02-19T23:36:03.000Z
@marciano_itro,@Estadao,"Esse vagabundo desse narigudo não pode falar de ninguém não com q moral 
Ele pegou dinheiro da lei Rouanet pra comprar o jatinho q ele tem 
E dinheiro nosso",2020-02-19T23:36:03.000Z
@WanderPalmas,@aleidegoncalves,"Essa é maus fácil ainda, deve na Rouanet e tem pensão cabulosa",2020-02-19T23:13:56.000Z
@WanderPalmas,@camposmello,"Essa é maus fácil ainda, deve na Rouanet e tem pensão cabulosa",2020-02-19T23:13:56.000Z
@WanderPalmas,@mariadorosario,"Essa é maus fácil ainda, deve na Rouanet e tem pensão cabulosa",2020-02-19T23:13:56.000Z
@JaimeFersilva,@Sen_Cristovam,Cadê minha Rouanet #BolsonaroPresidenteAte2026,2020-02-19T22:56:45.000Z
@JaimeFersilva,@BolsonaroPresidenteAte2026,Cadê minha Rouanet #BolsonaroPresidenteAte2026,2020-02-19T22:56:45.000Z
@JaimeFersilva,@zeliaduncan,Cadê minha Rouanet #BolsonaroPresidenteAte2026,2020-02-19T22:56:45.000Z
@denilsonh,@GabyAmarantos,Acabou foi a Rouanet...huahauaha,2020-03-21T23:55:41.000Z
@U2Cassio,@GabyAmarantos,Está sofrendo sem Rouanet também? Eita que a turma do Elenão não para!!!,2020-03-21T23:40:26.000Z
@MaysaMaia7,@ye0you6Psv,"Em pandemia, SP gasta R$ 103 milhões em ‘nova’ Lei Rouanet | Brasil | http://Pleno.News https://pleno.news/brasil/cidades/em-pandemia-sp-gasta-r-103-milhoes-em-nova-lei-rouanet.html…",2020-04-21T23:40:57.000Z
@MaysaMaia7,@C71AjHwda6,"Em pandemia, SP gasta R$ 103 milhões em ‘nova’ Lei Rouanet | Brasil | http://Pleno.News https://pleno.news/brasil/cidades/em-pandemia-sp-gasta-r-103-milhoes-em-nova-lei-rouanet.html…",2020-04-21T23:40:57.000Z
@reflexaobiblica,@ErjaeNJhge,"O PT e a Lei Rouanet segundo o ex-petista Lobão https://youtu.be/ZarO-FXM8q0 via 
@YouTube",2020-04-21T23:28:11.000Z
@reflexaobiblica,@YouTube,"O PT e a Lei Rouanet segundo o ex-petista Lobão https://youtu.be/ZarO-FXM8q0 via 
@YouTube",2020-04-21T23:28:11.000Z
@Douglasmelo01,@brunogagliasso,"Sério que pensasse isso ?!?!?!?
Uma reunião presidencial com assunto único ????
Fica com teu PT que perdesse foi a boquinha da Lei Rouanet.",2020-05-22T23:57:37.000Z
@Douglasmelo01,@MarceloFreixo,"Sério que pensasse isso ?!?!?!?
Uma reunião presidencial com assunto único ????
Fica com teu PT que perdesse foi a boquinha da Lei Rouanet.",2020-05-22T23:57:37.000Z
@Fernand54780141,@maisa,"Não otario , ele estava esperando vc chorar mais por causa do dinheiro da lei rouanet",2020-05-22T23:47:41.000Z
@Fernand54780141,@FabioPorchat,"Não otario , ele estava esperando vc chorar mais por causa do dinheiro da lei rouanet",2020-05-22T23:47:41.000Z
@Gabrievin,@juliaavera,"Tenho um link com todos os eps, vou te mandar no pv",2020-06-22T23:59:36.000Z
@PeringCezar,@FechadoComBolsolnaroAte2026,"Secou a teta da lei Rouanet,  agora esses comunistas sanguessugas pensam em ter renda de processos, bando de porcos comunistas,porque de artistas não nada
#FechadoComBolsolnaroAte2026

#PL2630Nao",2020-06-22T23:51:08.000Z
@PeringCezar,@RevistaISTOE,"Secou a teta da lei Rouanet,  agora esses comunistas sanguessugas pensam em ter renda de processos, bando de porcos comunistas,porque de artistas não nada
#FechadoComBolsolnaroAte2026

#PL2630Nao",2020-06-22T23:51:08.000Z
@PeringCezar,@PL2630Nao,"Secou a teta da lei Rouanet,  agora esses comunistas sanguessugas pensam em ter renda de processos, bando de porcos comunistas,porque de artistas não nada
#FechadoComBolsolnaroAte2026

#PL2630Nao",2020-06-22T23:51:08.000Z
@outdoorandnews5,@kywf3fwycE,"Renaud Rouanet et ses nouvelles courses 
@teaminstincttrail
@outdoorandnews5
 partenaire média 

http://outdoorandnews.com/des-nouvelles-de-renaud-rouanet/… 
@outdoorandnews5
  caillassourenaud_rouanet 
@instinct_trail
 https://instagram.com/p/CDAN9-8oLsb/?igshid=te79rgqq45wv…",2020-07-23T23:41:46.000Z
@outdoorandnews5,@GwXwQCBzLk,"Renaud Rouanet et ses nouvelles courses 
@teaminstincttrail
@outdoorandnews5
 partenaire média 

http://outdoorandnews.com/des-nouvelles-de-renaud-rouanet/… 
@outdoorandnews5
  caillassourenaud_rouanet 
@instinct_trail
 https://instagram.com/p/CDAN9-8oLsb/?igshid=te79rgqq45wv…",2020-07-23T23:41:46.000Z
@outdoorandnews5,@instinct_trail,"Renaud Rouanet et ses nouvelles courses 
@teaminstincttrail
@outdoorandnews5
 partenaire média 

http://outdoorandnews.com/des-nouvelles-de-renaud-rouanet/… 
@outdoorandnews5
  caillassourenaud_rouanet 
@instinct_trail
 https://instagram.com/p/CDAN9-8oLsb/?igshid=te79rgqq45wv…",2020-07-23T23:41:46.000Z
@TucaPinheiroDF,@sZv873ihjQ,"Captação de recursos pela Lei Rouanet cai 35%, a maior queda da última década 
@folha
:

https://www1.folha.uol.com.br/ilustrada/2020/07/captacao-de-recursos-pela-lei-rouanet-cai-35-a-maior-queda-da-ultima-decada.shtml?utm_source=twitter&utm_medium=social&utm_campaign=comptw…",2020-07-23T23:33:20.000Z
